1623406756037|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623406867242|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623406867244|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623406878706|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623406878709|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623407617834|30|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623407617854|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623407619914|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623407619917|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
1623483645979|73|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id|SELECT COUNT(1) FROM questionnaire qn LEFT JOIN user u ON qn.establisher_id = u.id
1623483646106|4|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/questionnaire?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=UTC|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT ?,?|select qn.*,                u.id as authorId,                u.avatar as authorAvatar         from questionnaire qn                  left join user u on qn.establisher_id = u.id       ORDER BY created DESC LIMIT 0,2
